id,name,city,state,holes,access
365,Granada Golf Course,Hot Springs Village,AR,18,Private
366,Isabella Golf Course,Hot Springs Village,AR,36,Private
367,Magellan Golf Course,Hot Springs Village,AR,18,Private
368,Ponce De Leon Golf Course,Hot Springs Village,AR,18,Private
369,Diamante Golf & Country Club,Hot Springs Village,AR,18,
370,Diamondhead Golf & Country Club,Hot Springs,AR,18,Public
371,Hot Springs Country Club,Hot Springs,AR,36,Public
372,Lakeside Golf Club,Hot Springs,AR,9,Public
373,Lakeview Golf Club,Hot Springs,AR,9,Public
374,Magic Hills Public Golf Course,Hot Springs,AR,9,Public
375,Bunker Hill Golf Course,Houston,AR,18,Public
376,Oakridge Golf Course,Huntsville,AR,18,Public
377,Foxwood Golf Club,Jacksonville,AR,18,Public
378,Hickory Creek Golf Course,Jacksonville,AR,18,Public
379,Jonesboro Country Club,Jonesboro,AR,18,Private
380,RidgePointe Country Club,Jonesboro,AR,18,Private
381,Links At Jonesboro,Jonesboro,AR,9,Public
382,Sage Meadows Golf Course,Jonesboro,AR,18,Public
383,Lake Village Country Club,Lake Village,AR,9,Public
384,West Helena Municipal Golf Course,Lexa,AR,9,Municipal
385,Deer Run Golf Course LRAFB,Little Rock Air Force Base,AR,18,
386,Hindman Golf Course,Little Rock,AR,18,Municipal
387,Rebsamen Park Golf Course,Little Rock,AR,27,Municipal
388,War Memorial Golf Course,Little Rock,AR,18,Municipal
389,Country Club of Little Rock,Little Rock,AR,18,Private
390,Pleasant Valley Country Club,Little Rock,AR,18,Private
391,Chenal Country Club,Little Rock,AR,36,
392,Eagle Hill Golf & Athletic Club,Little Rock,AR,18,
393,The First Tee of Central Arkansas,Little Rock,AR,27,Public
394,Lonoke Golf Course,Lonoke,AR,18,Public
395,Pine Hills Golf & Tennis Club,Louann,AR,9,Private
396,The Links at Lowell,Lowell,AR,9,Public
397,Lakeview Country Club,Mabelvale,AR,18,Public
398,Meadowbrook Golf and Country Club,Magazine,AR,18,Public
399,Magnolia Country Club,Magnolia,AR,18,Private
400,Malvern Country Club,Malvern,AR,18,Private
401,Big Lake Country Club,Manila,AR,9,Public
402,Marianna Country Club,Marianna,AR,9,Private
403,Marion Golf & Athletic Club,Marion,AR,18,
404,Three Rivers Country Club,Marked Tree,AR,9,Public
405,Maumelle Golf & Country Club,Maumelle,AR,18,Private
406,The Country Club of Arkansas,Maumelle,AR,18,Public
407,Delta Country Club,Mc Gehee,AR,9,Private
408,Coopers Hawk,Melbourne,AR,18,Public
409,Mena Golf Club,Mena,AR,9,Public
410,Ouachita Golf & Country Club,Mena,AR,9,Public
411,Monticello Country Club,Monticello,AR,9,Private
412,Morrilton Golf & Country Club,Morrilton,AR,18,Private
413,Big Creek Golf & Country Club,Mountain Home,AR,18,Public
414,Twin Lakes Golf Club,Mountain Home,AR,18,Public
415,Pine Hills Golf Course,Mountain View,AR,9,Municipal
416,Nashville Country Club,Nashville,AR,18,Private
417,Newport Country Club,Newport,AR,18,Private
418,Village Creek Golf Inc,Newport,AR,18,Private
419,Burns Park Golf Course,North Little Rock,AR,36,Municipal
420,Emerald Park Golf Course,North Little Rock,AR,9,Municipal
421,Camp Robinson Golf Course,North Little Rock,AR,9,Public
422,Pine Valley Golf Course,North Little Rock,AR,18,Public
423,Stonelinks Golf Course,North Little Rock,AR,18,Public
424,The Links At the Rock,North Little Rock,AR,18,Public
425,Osceola Golf Course,Osceola,AR,9,Municipal
426,Ozark Recreation Assoc.Club,Ozark,AR,9,Public
427,Paragould Country Club,Paragould,AR,18,Private
428,Fox Hills Golf Club,Paragould,AR,18,Public
429,Big Sugar Golf Club,Pea Ridge,AR,18,Public
430,Walnut Lake Country Club,Pickens,AR,9,Private
431,Sugar Creek Country Club,Piggott,AR,9,Public
432,Jaycee Memorial Golf Course,Pine Bluff,AR,9,Municipal
433,Pine Bluff Country Club,Pine Bluff,AR,18,Private
434,Rosswood Country Club,Pine Bluff,AR,18,Private
435,Harbor Oaks Golf Club,Pine Bluff,AR,18,Public
436,Pine Haven Golf Course,Pine Bluff,AR,9,Public
437,Rolling Hills Country Club,Pocahontas,AR,18,Public
